item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
70374	Turkey	Blog	2	0	0.252157	0.239958	0.118942
71604	Switzerland	Blog	2	0	0.389128	0.381538	0.017923
71605	Turkey	Blog	2	0	0.053061	0.082287	0.014669
72384	Switzerland	Blog	2	0	0.287881	0.235397	0
73016	Turkey	Blog	2	0	0.171565	0.213792	0.05938
73017	Turkey	Blog	2	0	0	0.015539	0
73525	Turkey	Blog	2	0	0.231798	0.329792	0.115948
74602	Australia	Blog	2	0	0.033549	0	0.011361
74951	Australia	Blog	2	0	0.095531	0.024598	0.055229
74952	Australia	Blog	2	0	0.236538	0.186982	0.177165
75507	Australia	Blog	2	0	0.626897	0.299636	0.464808
75508	Australia	Blog	2	0	0.300565	0.384834	0.182013
75519	Turkey	Blog	2	0	0.20513	0.35411	0.108792
75696	Australia	Blog	2	0	0.438335	0.19711	0.190701
75697	Australia	Blog	2	0	0.169247	0	0.040311
75698	Australia	Blog	2	0	0.269575	0.551231	0
76046	Australia	Blog	2	0	0.328312	0.153552	0.218509
76047	Australia	Blog	2	0	0.230486	0.177087	0.217562
76048	Australia	Blog	2	0	0.197822	0.064231	0
76372	Australia	Blog	2	0	-1	-1	-1
76630	Australia	Blog	2	0	0.039824	0	0
76926	Australia	Blog	2	0	0.122063	0.039409	0.038616
77330	Switzerland	Blog	2	0	0.263129	0.06124	0
77331	Turkey	Blog	2	0	0.347324	0.018701	0.147351
77332	Turkey	Blog	2	0	0.195283	0	0.099377
77676	Turkey	Blog	2	0	0.430963	0.346006	0.224075
78035	Turkey	Blog	2	0	0.140424	0.227106	0.134889
78371	Australia	Blog	2	0	-1	-1	-1
78372	Australia	Blog	2	0	0.039477	0	0.050799
80650	Australia	Blog	2	0	0.453802	0.08397	0.305712
80651	Australia	Blog	2	0	0.605834	0	0.497129
80652	Australia	Blog	2	0	0.297437	0.06311	0.346752
80900	Australia	Blog	2	0	-1	-1	-1
80901	Australia	Blog	2	0	0.111877	0.033589	0
81150	Australia	Blog	2	0	0.206168	0.160886	0.103816
81850	Australia	Blog	2	0	-1	-1	-1
81851	Australia	Blog	2	0	0.074608	0	0.018259
81852	Australia	Blog	2	0	0.348875	0.069124	0.147621
81867	Australia	Blog	2	0	0.533178	0.48359	0.347098
82077	Australia	Blog	2	0	0.171415	0.284931	0.051821
82078	Australia	Blog	2	0	0.297832	0.081837	0.07377
82356	Australia	Blog	2	0	-1	-1	-1
82638	Australia	Blog	2	0	0.19836	0.340317	0.159351
82892	Australia	Blog	2	0	0.174335	0.031722	0.064846
82899	Turkey	Blog	2	0	0.02643	0.179944	0.090068
83576	Switzerland	Blog	2	0	0.526907	0.393882	0.705863
84448	Australia	Blog	2	0	0.320054	0.318554	0.208528
85123	Australia	Blog	2	0	0.290439	0.335125	0.103245
85542	Turkey	Blog	2	0	0.06821	0.029471	0.010902
86614	Turkey	Blog	3	1	0.296873	0.406041	0.258467
88066	Turkey	Blog	2	0	0.092998	0.273133	0.032524
88131	Turkey	Blog	2	0	0.150904	0.120378	0.097742
88468	Australia	Blog	2	0	0.249959	0.188907	0.103707
88473	Turkey	Blog	2	0	0.288085	0.249266	0.060769
88494	Turkey	Blog	2	0	0.364264	0.5333	0.240564
88755	Australia	Blog	2	0	0.245445	0.185851	0.103182
89062	Australia	Blog	2	0	0.350789	0.155946	0.165914
89265	Australia	Blog	2	0	0.305704	0.163635	0.172494
89437	Australia	Blog	2	0	0.013692	0	0
89438	Australia	Blog	2	0	0.401169	0.054712	0.085985
89439	Australia	Blog	2	0	0.290901	0.143737	0.072536
89760	Australia	Blog	2	0	0.262701	0.034011	0.087924
89761	Australia	Blog	2	0	0.110328	0.029744	0.1413
89762	Australia	Blog	2	0	0.358864	0.014134	0.243013
89765	Switzerland	Blog	2	0	0.238778	0.094603	0
89766	Switzerland	Blog	2	0	-1	-1	-1
89993	Australia	Blog	2	0	0.574048	0.563593	0.545247
89994	Australia	Blog	2	0	0.357366	0.049813	0.24931
89995	Australia	Blog	2	0	0.201832	0.036109	0
90362	Switzerland	Blog	2	0	0.4898	0.555582	0.045363
90805	Australia	Blog	2	0	0.310314	0	0.081942
